sampleID	pielou_e	faith_pd	observed_otus	shannon
St_Patrick	0.66585042339554	32.12129	445	5.857926651880379
Abita	0.7355718347688256	41.48149000000001	640	6.8569477523393605
Callopie	0.6904912898023027	40.54965	639	6.435152423327253
Alana	0.6890527270106721	35.58887	536	6.247013480006906
Unknown	0.6554987427201409	36.17456	555	5.975752004795508
Dyani	0.667365031163577	36.40312000000001	549	6.073463805479396
Nyx	0.6900719395234166	34.2546	488	6.162851235906214
Ariadne	0.7612632775797142	41.2704	657	7.125233627616264
Luna	0.7178174383577758	37.11293	587	6.601922526669633
Minerva	0.7220395941419717	38.14692	583	6.633631962173087
Jordan	0.6790610355965719	37.071810000000006	562	6.202832996589805
Corey	0.7526923995006763	40.211490000000005	639	7.014846371275151
Theodora	0.6856599652352017	35.87594000000001	531	6.206983495003674
Bathsheba	0.6436118630781279	35.24160999999999	541	5.84366411750829
Odysseus	0.6604279544673248	38.04557	584	6.069217035334716
Ivy	0.7594543468867163	43.210770000000004	667	7.124853574781567
Ivanhoe	0.649381544364458	31.091040000000003	474	5.772185818428702
Octavia	0.7410441508010034	40.68498	635	6.8995751422218525
Unknown_G2.3	0.7059526650338193	36.21255	550	6.426490288918343
Unknown_G2.2	0.7272747406037602	40.28838	610	6.7292298522786345
Wings	0.7641317444448492	41.16208	627	7.10055793921563
Orf	0.7110034909689938	44.10125	677	6.685574374385246
Juniper	0.7541363700679673	43.49457	695	7.119702804348654
Azalea	0.7269685052323492	41.684140000000006	649	6.7913940571643305
Mimosa	0.6643109935911626	35.20236999999999	543	6.035138086687644
Agate	0.7553035901958766	38.17091	596	6.963271082125878
Zanahoria	0.7272535512979635	40.07853	642	6.78267896543974
Rambo_II	0.7406843779414467	40.40055	643	6.909603785565871
Siobhan	0.7226204176272549	40.05472	562	6.6007229623034345
Unknown_G2.1	0.7307650660023063	36.94882000000001	577	6.702889593756686
Talia	0.7244404771808429	43.33102	639	6.751547718467839
URG.1	0.7017391809684421	36.977509999999995	565	6.415374718717308
URG.10	0.6512619038187579	29.798100000000005	378	5.576262302155953
URG.11	0.6777008524197875	33.89242	502	6.080022714033687
URG.12	0.7162881806852606	38.93213	625	6.652678603075447
URG.13	0.7011554334749294	37.58602	571	6.4207235599446495
URG.14	0.7437723536799782	42.83242	647	6.945065019818682
URG.2	0.7289799050042463	38.53585	586	6.702792978273872
URG.3	0.7158216003918656	37.54456	573	6.558637624367321
URG.4	0.697668234001224	36.87969	555	6.360183591984267
URG.5	0.7119627273751569	39.16357	610	6.587552916777113
URG.6	0.6861837443396959	36.59599	559	6.262596248657391
URG.7	0.6686550868347739	35.63832	515	6.023531622535469
URG.8	0.685290061129823	37.21201000000001	588	6.304444023567255
URG.9	0.690287391993992	36.6699	578	6.33333552111209
