	pielou_e
St_Patrick	0.66585042339554
Abita	0.7355718347688256
Callopie	0.6904912898023027
Alana	0.6890527270106721
Unknown	0.6554987427201409
Dyani	0.667365031163577
Nyx	0.6900719395234166
Ariadne	0.7612632775797142
Luna	0.717817438357776
Minerva	0.7220395941419717
Jordan	0.6790610355965719
Corey	0.7526923995006763
Theodora	0.6856599652352017
Bathsheba	0.6436118630781279
Odysseus	0.6604279544673248
Ivy	0.7594543468867163
Ivanhoe	0.649381544364458
Octavia	0.7410441508010034
Unknown_G2.3	0.7059526650338193
Unknown_G2.2	0.7272747406037602
Wings	0.764131744444849
Orf	0.7110034909689938
Juniper	0.7541363700679673
Azalea	0.7269685052323492
Mimosa	0.6643109935911626
Agate	0.7553035901958766
Zanahoria	0.7272535512979635
Rambo_II	0.7406843779414467
Siobhan	0.7226204176272549
Unknown_G2.1	0.7307650660023063
Talia	0.7244404771808429
URG.1	0.7017391809684421
URG.10	0.6512619038187579
URG.11	0.6777008524197875
URG.12	0.7162881806852606
URG.13	0.7011554334749294
URG.14	0.7437723536799782
URG.2	0.7289799050042463
URG.3	0.7158216003918656
URG.4	0.697668234001224
URG.5	0.7119627273751569
URG.6	0.6861837443396959
URG.7	0.668655086834774
URG.8	0.685290061129823
URG.9	0.690287391993992
