	faith_pd
St_Patrick	32.12129
Abita	41.48149000000001
Callopie	40.54965
Alana	35.58887
Unknown	36.17456
Dyani	36.40312000000001
Nyx	34.254599999999996
Ariadne	41.2704
Luna	37.11293
Minerva	38.146919999999994
Jordan	37.071810000000006
Corey	40.21149
Theodora	35.87594000000001
Bathsheba	35.241609999999994
Odysseus	38.04557
Ivy	43.21077
Ivanhoe	31.09104
Octavia	40.684979999999996
Unknown_G2.3	36.21255
Unknown_G2.2	40.288380000000004
Wings	41.162079999999996
Orf	44.10125
Juniper	43.494569999999996
Azalea	41.684140000000006
Mimosa	35.202369999999995
Agate	38.17091
Zanahoria	40.07853
Rambo_II	40.400549999999996
Siobhan	40.054719999999996
Unknown_G2.1	36.948820000000005
Talia	43.331019999999995
URG.1	36.97751
URG.10	29.798100000000005
URG.11	33.89242
URG.12	38.93213
URG.13	37.58602
URG.14	42.83242
URG.2	38.53585
URG.3	37.544560000000004
URG.4	36.879690000000004
URG.5	39.16357
URG.6	36.59599
URG.7	35.63832
URG.8	37.21201000000001
URG.9	36.6699
