	shannon
St_Patrick	5.857926651880379
Abita	6.8569477523393605
Callopie	6.435152423327252
Alana	6.247013480006905
Unknown	5.975752004795509
Dyani	6.073463805479396
Nyx	6.162851235906215
Ariadne	7.125233627616265
Luna	6.601922526669634
Minerva	6.633631962173088
Jordan	6.202832996589805
Corey	7.0148463712751505
Theodora	6.206983495003674
Bathsheba	5.84366411750829
Odysseus	6.069217035334716
Ivy	7.124853574781566
Ivanhoe	5.772185818428703
Octavia	6.899575142221853
Unknown_G2.3	6.426490288918343
Unknown_G2.2	6.729229852278634
Wings	7.10055793921563
Orf	6.685574374385246
Juniper	7.119702804348654
Azalea	6.79139405716433
Mimosa	6.035138086687644
Agate	6.963271082125879
Zanahoria	6.7826789654397395
Rambo_II	6.909603785565871
Siobhan	6.600722962303435
Unknown_G2.1	6.702889593756686
Talia	6.7515477184678385
URG.1	6.415374718717307
URG.10	5.576262302155953
URG.11	6.080022714033688
URG.12	6.652678603075447
URG.13	6.42072355994465
URG.14	6.945065019818683
URG.2	6.702792978273872
URG.3	6.55863762436732
URG.4	6.360183591984267
URG.5	6.587552916777114
URG.6	6.262596248657391
URG.7	6.023531622535469
URG.8	6.304444023567255
URG.9	6.333335521112091
