	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.4820910623946037	0.5741652613827993	0.5997301854974705	0.6636087689713323	0.6672512647554806	0.5825295109612142	0.5808431703204047	0.5989881956155143	0.5691736930860034	0.6621922428330522	0.5902866779089376	0.5413153456998314	0.5664755480607082	0.6605733558178752	0.562495784148398	0.6339966273187184	0.6673861720067453	0.5444182124789207	0.5927824620573355	0.5528499156829679	0.5952107925801012	0.557841483979764	0.6387858347386172	0.6356155143338954	0.5703204047217538	0.6373693086003372	0.6534232715008431	0.4903878583473862	0.5471838111298483	0.5927150084317032	0.5059696458684654	0.776795952782462	0.5686340640809443	0.5443507588532883	0.5593254637436762	0.5873861720067454	0.5639797639123103	0.5182462057335582	0.4978752107925801	0.5226306913996628	0.5819224283305228	0.511433389544688	0.568566610455312	0.5209443507588533
Abita	0.4820910623946037	0.0	0.363575042158516	0.4461382799325464	0.47797639123102864	0.4448566610455312	0.49099494097807755	0.3861045531197302	0.41045531197301854	0.48883642495784146	0.41423271500843173	0.4082293423271501	0.4410118043844857	0.45436762225969646	0.46623946037099495	0.3884654300168634	0.4961214165261383	0.5425295109612142	0.3986509274873524	0.40310286677908935	0.3191231028667791	0.32296795952782464	0.325531197301855	0.4416863406408094	0.4770320404721754	0.4131534569983137	0.43959527824620576	0.4098482293423272	0.43413153456998316	0.4352782462057336	0.4288701517706577	0.3893423271500843	0.667858347386172	0.5159527824620573	0.4100505902192243	0.4012816188870152	0.37551433389544686	0.4231365935919056	0.448566610455312	0.4240809443507588	0.4262394603709949	0.4965261382799325	0.5264080944350759	0.3644519392917369	0.4133558178752108
Callopie	0.5741652613827993	0.363575042158516	0.0	0.37126475548060706	0.33915682967959526	0.3390893760539629	0.48627318718381113	0.4481618887015177	0.4198313659359191	0.5484654300168634	0.4081618887015177	0.45720067453625635	0.49005059021922426	0.3705902192242833	0.356424957841484	0.4932883642495784	0.4209106239460371	0.5732883642495784	0.45713322091062397	0.4366273187183811	0.4188870151770658	0.35770657672849915	0.3944013490725127	0.5189881956155143	0.41207419898819564	0.40708263069139966	0.49005059021922426	0.4633389544688027	0.5053625632377741	0.4948397976391231	0.494637436762226	0.4379089376053963	0.7037436762225969	0.5382799325463744	0.458752107925801	0.39973018549747047	0.4559190556492411	0.4500505902192243	0.4967959527824621	0.48047217537942666	0.47258010118043847	0.45106239460370995	0.5730860033726812	0.3584485666104553	0.44843170320404724
Alana	0.5997301854974705	0.4461382799325464	0.37126475548060706	0.0	0.3845531197301855	0.36620573355817876	0.5415177065767285	0.5095446880269815	0.4981450252951096	0.6350758853288364	0.47264755480607085	0.5017200674536256	0.5938617200674536	0.4148397976391231	0.45254637436762224	0.5318043844856661	0.4718381112984823	0.5554806070826307	0.4596964586846543	0.467858347386172	0.5102192242833052	0.41713322091062394	0.4811467116357504	0.5004384485666105	0.4299494097807757	0.4478246205733558	0.44897133220910623	0.48809443507588535	0.5683642495784148	0.5413153456998314	0.5324114671163575	0.4371669477234401	0.7797639123102866	0.5278920741989882	0.4038448566610455	0.4457335581787521	0.5212816188870152	0.5041483979763912	0.4917369308600337	0.48674536256323775	0.44472175379426643	0.4360202360876897	0.5870489038785834	0.4656998313659359	0.4507251264755481
Unknown	0.6636087689713323	0.47797639123102864	0.33915682967959526	0.3845531197301855	0.0	0.2712310286677909	0.5905564924114671	0.5216188870151771	0.49052276559865093	0.6321753794266441	0.49409780775716694	0.5121753794266442	0.5777403035413153	0.3396964586846543	0.2851264755480607	0.5775379426644182	0.4765598650927487	0.5565598650927487	0.5411804384485666	0.4837099494097808	0.5251264755480607	0.4250252951096121	0.4791905564924115	0.5262057335581788	0.48080944350758853	0.47602023608768973	0.5304553119730185	0.48026981450252954	0.5997976391231029	0.5732209106239461	0.5730185497470489	0.5386172006745362	0.7868465430016863	0.5910286677908938	0.5228330522765599	0.476424957841484	0.5021922428330523	0.45740303541315347	0.5785497470489038	0.5784148397976391	0.550893760539629	0.4922765598650927	0.6579426644182125	0.46219224283305227	0.5302529510961214
Dyani	0.6672512647554806	0.4448566610455312	0.3390893760539629	0.36620573355817876	0.2712310286677909	0.0	0.5900168634064081	0.5372006745362563	0.49598650927487353	0.6240809443507589	0.4813490725126476	0.5507588532883643	0.55858347386172	0.4354806070826307	0.41713322091062394	0.5622259696458685	0.49949409780775716	0.6080269814502529	0.5162225969645868	0.4758178752107926	0.5013827993254637	0.4143001686340641	0.4861382799325464	0.5469814502529511	0.4816188870151771	0.501247892074199	0.5393591905564924	0.5168971332209106	0.5869139966273187	0.5905564924114671	0.5702529510961214	0.524451939291737	0.7530522765598651	0.6097133220910624	0.5247217537942664	0.48505902192242834	0.5160202360876898	0.5357841483979764	0.5819224283305228	0.5709274873524451	0.5477234401349073	0.5146711635750422	0.6588195615514334	0.4590893760539629	0.5269477234401349
Nyx	0.5825295109612142	0.49099494097807755	0.48627318718381113	0.5415177065767285	0.5905564924114671	0.5900168634064081	0.0	0.5040809443507589	0.42826306913996626	0.5552107925801012	0.5292411467116358	0.5265430016863406	0.5143338954468802	0.4905902192242833	0.5538617200674536	0.5769983136593592	0.48438448566610454	0.6164586846543002	0.4654974704890388	0.4813490725126476	0.5548735244519393	0.5039460370994941	0.5397639123102866	0.6111298482293424	0.519460370994941	0.47554806070826305	0.612141652613828	0.5832040472175379	0.49335581787521077	0.5800337268128162	0.5494772344013491	0.46050590219224286	0.7865767284991568	0.4936930860033727	0.49524451939291736	0.4602360876897133	0.5929173693086003	0.5177740303541315	0.5704553119730186	0.49767284991568295	0.49355817875210795	0.49099494097807755	0.5891399662731872	0.5258010118043844	0.49079258010118043
Ariadne	0.5808431703204047	0.3861045531197302	0.4481618887015177	0.5095446880269815	0.5216188870151771	0.5372006745362563	0.5040809443507589	0.0	0.43703204047217536	0.42704890387858346	0.4494435075885329	0.3622934232715008	0.5024620573355818	0.4979426644182125	0.46981450252951096	0.3668802698145025	0.521079258010118	0.4720404721753794	0.4516694772344014	0.4297470489038786	0.4127487352445194	0.3954131534569983	0.38684654300168636	0.46313659359190557	0.48573355817875213	0.3811129848229342	0.4424283305227656	0.4167284991568297	0.4603035413153457	0.4490387858347386	0.3984485666104553	0.40499156829679595	0.7525126475548061	0.5168296795952783	0.4200337268128162	0.45915682967959526	0.39291736930860033	0.41470489038785835	0.4416863406408094	0.4359527824620573	0.4209106239460371	0.5056998313659359	0.5466441821247892	0.4340640809443508	0.4230691399662732
Luna	0.5989881956155143	0.41045531197301854	0.4198313659359191	0.4981450252951096	0.49052276559865093	0.49598650927487353	0.42826306913996626	0.43703204047217536	0.0	0.49571669477234404	0.4998988195615514	0.4279258010118044	0.4806745362563238	0.46313659359190557	0.4281281618887015	0.4961214165261383	0.5047554806070826	0.517504215851602	0.4458010118043845	0.3689713322091062	0.4454637436762226	0.4221922428330523	0.40074198988195614	0.530725126475548	0.4817537942664418	0.3741652613827993	0.5309949409780775	0.4362225969645869	0.5101517706576728	0.48647554806070825	0.5080607082630691	0.44276559865092746	0.7738279932546375	0.5068465430016863	0.45079258010118045	0.41753794266441824	0.48526138279932546	0.4095784148397976	0.48883642495784146	0.45868465430016864	0.45888701517706576	0.4666441821247892	0.5638448566610456	0.44107925801011805	0.46745362563237775
Minerva	0.5691736930860034	0.48883642495784146	0.5484654300168634	0.6350758853288364	0.6321753794266441	0.6240809443507589	0.5552107925801012	0.42704890387858346	0.49571669477234404	0.0	0.5313322091062395	0.4790556492411467	0.47527824620573356	0.5835413153456999	0.6031028667790894	0.46934232715008434	0.6175379426644182	0.6374367622259697	0.5249915682967959	0.5328836424957841	0.503204047217538	0.5061045531197302	0.502866779089376	0.6074873524451939	0.6263069139966273	0.48458684654300166	0.5827318718381113	0.5601349072512648	0.42138279932546374	0.5297133220910624	0.4034401349072513	0.4975379426644182	0.7434738617200675	0.5846205733558179	0.5270151770657673	0.5433389544688026	0.5096121416526138	0.46462057335581786	0.4745362563237774	0.4652276559865093	0.4984822934232715	0.6042495784148398	0.5728836424957842	0.5129173693086003	0.5170320404721753
