	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.5514018691588785	0.5680317040951123	0.5803183791606368	0.577524893314367	0.5718390804597702	0.5690184049079755	0.5706874189364461	0.592087312414734	0.5356125356125356	0.5756718528995757	0.5830065359477125	0.5234493192133132	0.5584795321637427	0.6	0.5725288831835686	0.5839753466872111	0.613607188703466	0.5453216374269005	0.5762483130904184	0.5876152832674572	0.5815423514538559	0.608058608058608	0.6028097062579821	0.640990371389271	0.587516960651289	0.6099744245524297	0.5979381443298969	0.5489913544668588	0.5844875346260388	0.5736842105263158	0.5550786838340487	0.762406015037594	0.5865671641791045	0.5790172642762285	0.5609065155807366	0.576271186440678	0.5600558659217877	0.5641748942172073	0.5673352435530086	0.5607094133697135	0.599721059972106	0.5093167701863354	0.5751724137931035	0.5652173913043478
Abita	0.5514018691588785	0.0	0.4553140096618358	0.5	0.5081148564294632	0.49302915082382764	0.5739570164348925	0.4988425925925926	0.5234657039711191	0.5085365853658537	0.4918444165621079	0.5005861664712778	0.5082802547770701	0.52375	0.5341317365269461	0.49597238204833144	0.5681233933161953	0.5478359908883826	0.49557522123893805	0.518957345971564	0.5267441860465116	0.4896788990825688	0.4983127109111361	0.5011627906976744	0.566060606060606	0.5441696113074205	0.5298165137614679	0.5046620046620046	0.5287637698898409	0.5425149700598803	0.5023419203747073	0.5105067985166872	0.7338308457711443	0.5433673469387755	0.5082547169811321	0.5049382716049383	0.49473684210526314	0.5103280680437424	0.5171149144254279	0.539119804400978	0.5119047619047619	0.5288343558282208	0.5267857142857143	0.5151148730350665	0.5128205128205128
Callopie	0.5680317040951123	0.4553140096618358	0.0	0.5164141414141414	0.5056320400500626	0.48854961832061067	0.5734177215189873	0.5069124423963134	0.5334928229665071	0.5538461538461539	0.515451174289246	0.5156794425087108	0.5057471264367817	0.5341614906832298	0.5157766990291263	0.5242937853107345	0.5911392405063292	0.56045197740113	0.5229813664596273	0.5288574793875147	0.5210280373831776	0.49942987457240595	0.5111607142857143	0.5040650406504065	0.547911547911548	0.5209580838323353	0.5224913494809689	0.5127610208816705	0.5633971291866029	0.5454545454545454	0.5208333333333334	0.5154130702836005	0.7506142506142506	0.540920716112532	0.498812351543943	0.5153374233128835	0.4976635514018692	0.5169491525423728	0.5237515225334958	0.5544794188861986	0.5023980815347722	0.5336597307221542	0.5336721728081322	0.5036585365853659	0.5230582524271845
Alana	0.5803183791606368	0.5	0.5164141414141414	0.0	0.523680649526387	0.5436241610738255	0.5738161559888579	0.5180124223602485	0.5453367875647669	0.5781448538754765	0.5162162162162162	0.5421836228287841	0.5581081081081081	0.540650406504065	0.5397653194263363	0.5575539568345323	0.5754583921015515	0.5684596577017115	0.5184174624829468	0.5419847328244275	0.5498753117206983	0.5420673076923077	0.5585480093676815	0.5168961201501877	0.5477792732166891	0.5761006289308176	0.540272614622057	0.520702634880803	0.5514511873350924	0.552665799739922	0.5670731707317073	0.5241286863270778	0.73582295988935	0.540084388185654	0.5172413793103449	0.541501976284585	0.52125	0.5428571428571428	0.533068783068783	0.5296495956873315	0.5548549810844893	0.54	0.5563186813186813	0.5073041168658698	0.5380577427821522
Unknown	0.577524893314367	0.5081148564294632	0.5056320400500626	0.523680649526387	0.0	0.4318181818181818	0.5790190735694822	0.5326876513317191	0.532133676092545	0.5739348370927319	0.5474642392717816	0.5456760048721072	0.5363881401617251	0.5128900949796472	0.5434782608695652	0.5452380952380952	0.56884561891516	0.5782556750298686	0.5422163588390502	0.5215736040609137	0.5741857659831122	0.5402843601895735	0.5763097949886105	0.5423728813559322	0.5703125	0.5522012578616352	0.5698924731182796	0.5209876543209877	0.5860759493670886	0.5707070707070707	0.5439024390243903	0.5454545454545454	0.7723684210526316	0.5599455040871935	0.5377942998760843	0.5300261096605744	0.5287637698898409	0.5258397932816538	0.5630573248407643	0.5714285714285714	0.5581683168316832	0.5494791666666666	0.5771276595744681	0.5270618556701031	0.5530012771392082
Dyani	0.5718390804597702	0.49302915082382764	0.48854961832061067	0.5436241610738255	0.4318181818181818	0.0	0.5794520547945206	0.5184275184275184	0.5473145780051151	0.5487179487179488	0.5590142671854734	0.5333333333333333	0.512396694214876	0.5388739946380697	0.5399484536082474	0.5206812652068127	0.5791666666666667	0.5904761904761905	0.538563829787234	0.5366161616161617	0.5481481481481482	0.5139393939393939	0.5534883720930233	0.5443499392466585	0.5945945945945946	0.5469543147208121	0.5581113801452785	0.5356265356265356	0.5847133757961783	0.5637755102040817	0.5476772616136919	0.5342105263157895	0.7540322580645161	0.5563186813186813	0.5470297029702971	0.5397653194263363	0.5289052890528906	0.535483870967742	0.5633802816901409	0.5549738219895288	0.5691358024691358	0.561038961038961	0.5775401069518716	0.5252918287937743	0.530638852672751
Nyx	0.5690184049079755	0.5739570164348925	0.5734177215189873	0.5738161559888579	0.5790190735694822	0.5794520547945206	0.0	0.5487959442332065	0.5761589403973509	0.5907894736842105	0.5616438356164384	0.5569782330345711	0.5295815295815296	0.5527426160337553	0.5630026809651475	0.5793357933579336	0.5402124430955993	0.59625	0.5338983050847458	0.5495376486129459	0.5903919089759798	0.5861650485436893	0.6049528301886793	0.5962962962962963	0.5759668508287292	0.5736842105263158	0.6134969325153374	0.5950310559006211	0.5294117647058824	0.5875331564986738	0.5823899371069182	0.5475862068965517	0.7785613540197461	0.5526315789473685	0.5675675675675675	0.5413223140495868	0.6004932182490752	0.58311345646438	0.5758389261744966	0.5848032564450475	0.5684485006518905	0.5755102040816327	0.5589080459770115	0.5614973262032086	0.5594594594594594
Ariadne	0.5706874189364461	0.4988425925925926	0.5069124423963134	0.5180124223602485	0.5326876513317191	0.5184275184275184	0.5487959442332065	0.0	0.527810650887574	0.5096153846153846	0.5079559363525091	0.48598130841121495	0.49810366624525915	0.5062344139650873	0.49393203883495146	0.4868571428571429	0.5481386392811296	0.5166475315729047	0.5244498777506112	0.5094117647058823	0.5121668597914253	0.4875283446712018	0.5191675794085433	0.49191685912240185	0.5312117503059975	0.5396270396270396	0.5221843003412969	0.47953216374269003	0.53309265944645	0.5550351288056206	0.5086306098964327	0.4763092269326683	0.7530120481927711	0.514102564102564	0.4719904648390942	0.49877750611246946	0.47306791569086654	0.49879227053140096	0.4963325183374083	0.5110565110565111	0.4789915966386555	0.5242718446601942	0.5220680958385876	0.4779951100244499	0.4883720930232558
Luna	0.592087312414734	0.5234657039711191	0.5334928229665071	0.5453367875647669	0.532133676092545	0.5473145780051151	0.5761589403973509	0.527810650887574	0.0	0.546583850931677	0.5363057324840764	0.5066991473812423	0.5366492146596858	0.53125	0.5044699872286079	0.540162980209546	0.5564625850340136	0.5572609208972845	0.5310077519379846	0.5185643564356436	0.5373493975903615	0.5285215366705471	0.5058275058275058	0.5543859649122806	0.5475578406169666	0.532258064516129	0.5725900116144018	0.5144927536231884	0.552896725440806	0.5558312655086849	0.5677570093457944	0.5343511450381679	0.7769328263624842	0.532345013477089	0.5362318840579711	0.5172855313700384	0.5274463007159904	0.5355805243445693	0.542713567839196	0.5544303797468354	0.5240443896424167	0.5345268542199488	0.55	0.5182849936948297	0.5545905707196029
Minerva	0.5356125356125356	0.5085365853658537	0.5538461538461539	0.5781448538754765	0.5739348370927319	0.5487179487179488	0.5907894736842105	0.5096153846153846	0.546583850931677	0.0	0.5263835263835264	0.51338199513382	0.48021828103683495	0.5571245186136072	0.5680981595092025	0.4939759036144578	0.5773889636608345	0.5687426556991775	0.5474358974358975	0.5143212951432129	0.538647342995169	0.5314685314685315	0.5191193511008111	0.5674418604651162	0.6012422360248447	0.5569155446756426	0.5655737704918032	0.5660818713450292	0.5282776349614395	0.5731857318573186	0.5115712545676004	0.5468354430379747	0.7647814910025706	0.5704874835309618	0.5550239234449761	0.5373891001267427	0.5287081339712919	0.5258511979823455	0.5495608531994981	0.5447570332480819	0.5361963190184049	0.550761421319797	0.5340453938584779	0.5270440251572327	0.54875
