	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.4340876872492423	0.4323138076662035	0.43820126234776846	0.44755944017498545	0.4445134265387502	0.44388374255783025	0.4796641376408707	0.46174310794267687	0.4434299642200415	0.45154358704265674	0.47804635209163715	0.41865509541043083	0.423684800933632	0.4567515903848387	0.4331843031074281	0.46127614672772527	0.48758147505320243	0.43244979222723173	0.4547550161630826	0.4793807660961951	0.4772917873933096	0.5026965611353791	0.4824492123782192	0.5097986698860831	0.49041295117762634	0.47649105902391986	0.44281438934201656	0.4531329970278329	0.4445893432869872	0.4811425883234106	0.43834708705368375	0.5816454132972934	0.45878275212050745	0.4594432451959757	0.4299989213149789	0.4490226530564805	0.4625898770123799	0.4390277073059795	0.44796389247832785	0.44578202904948583	0.47213311292796095	0.40872197277558864	0.4537470930979885	0.45731092783856675
Abita	0.4340876872492423	0.0	0.3597731506605163	0.404465571064702	0.3888970149897869	0.3770070016891777	0.4742159606204308	0.414954937163353	0.43426992984499385	0.4173943028123358	0.39251021071289505	0.4173940434690403	0.42013814876003347	0.4026101026970081	0.4231064979116661	0.3998678211778037	0.48752055143201756	0.425162186610088	0.4149986494993823	0.44241725343411187	0.41063730807561283	0.4158619743518688	0.39915911474688576	0.4119277236729817	0.4650598513175056	0.4606450098491867	0.41559992618896574	0.4053559075895595	0.4516848728251269	0.4462341286965116	0.4105506253326906	0.43517085102249947	0.5886814293814256	0.4315834859487816	0.39651048847757137	0.39863757338971945	0.3936802220265434	0.4063125822157021	0.42482577109773123	0.4388604727917143	0.42000999150179186	0.4431570475199567	0.4246876485592568	0.42699924012388174	0.4368824766577251
Callopie	0.4323138076662035	0.3597731506605163	0.0	0.4152444207870475	0.38078486300782355	0.3519173398485058	0.4562670655944795	0.41562757222477276	0.41817043474822946	0.44512176679814164	0.41781528495234554	0.437980822614348	0.3992649555294652	0.41396117838779084	0.4031687448683685	0.4077830428860945	0.4796599173297432	0.4394692462767077	0.4223302515188994	0.4261491834028384	0.4193943994881751	0.4186996076950598	0.39959729179379555	0.4130244101895139	0.4457687255946843	0.4170650119705283	0.3953617082863267	0.3874748037240354	0.45998028641537464	0.4373537887484666	0.42879283416479125	0.41109523645863505	0.598103323579908	0.4214733448043605	0.38413273382034896	0.39918102498776203	0.4057456354458342	0.40618465360399114	0.4268672714833191	0.44652441200182924	0.4058251923265774	0.42327173934594176	0.40002448629020365	0.4020714267032825	0.41793464449759343
Alana	0.43820126234776846	0.404465571064702	0.4152444207870475	0.0	0.4258770722433845	0.44544558828645564	0.47152157646491705	0.4391023799744774	0.45607482371322017	0.4778026009541891	0.40949287036149296	0.446693244715031	0.4599399056952846	0.4313030329980387	0.42265600302820433	0.4377877867036101	0.49325239158269113	0.45213687482578263	0.449027810290443	0.47191026393307056	0.44459902553951786	0.4538520446834429	0.4581798500526467	0.43145648608044374	0.4575001784474031	0.4872361191497251	0.4149543628140622	0.39834796111233484	0.4662234387621343	0.44314931675618907	0.46907911808364494	0.41707083468022477	0.5649973939607971	0.4175425856562067	0.40576160141473483	0.4415246604529807	0.42870249675458816	0.4437672455960169	0.4434204657586418	0.440722166290736	0.45098667358861727	0.43185854370718063	0.4494855866565457	0.39994514125510383	0.44729713098764007
Unknown	0.44755944017498545	0.3888970149897869	0.38078486300782355	0.4258770722433845	0.0	0.3306956656284525	0.4485315178874749	0.43592268114748456	0.4338482861920153	0.4645118614336705	0.42353756788890323	0.44294247937940856	0.410280658068431	0.4102346581283907	0.43355086767347384	0.44393565758581477	0.48095239928686795	0.4478912623410888	0.43385606568348073	0.4315651483824505	0.46387659022860334	0.452566112109118	0.4579697823386967	0.44098854920990327	0.4572173905306835	0.45489322689012657	0.42109403315527627	0.4009664559540036	0.48325234545681667	0.45285073224843664	0.45468792454163925	0.43925835859011725	0.6026800267745847	0.44094412506748315	0.4292653049325797	0.42937012204206937	0.4296562048842968	0.40206265625627013	0.45914254395376397	0.46489887085041315	0.44909683497012015	0.4305360552100316	0.4389054128544804	0.422025969091015	0.45601785509533177
Dyani	0.4445134265387502	0.3770070016891777	0.3519173398485058	0.44544558828645564	0.3306956656284525	0.0	0.4641222065485345	0.42699667449014767	0.43764172423962916	0.4360221152429264	0.4500323497837025	0.4405629921794048	0.392311018526757	0.4175349145506857	0.43438825264965497	0.4016170166895355	0.4829892416870685	0.4676436038139643	0.4296533809039032	0.44052569266765135	0.4332753561825748	0.43796213463651656	0.4327314378413214	0.44190137431135434	0.47785534374680305	0.44233710811840177	0.42911396185822415	0.4141011471939636	0.4706177694255442	0.4446018300513908	0.4492641242147746	0.4287600394503338	0.5951101400026122	0.42444263682334304	0.43039725103850884	0.42955010201002974	0.42230206737436066	0.41976451808740817	0.45965213935778215	0.44174015710393433	0.4532344414774631	0.43939331447443447	0.43588312906440124	0.41944350512634976	0.43769332909831715
Nyx	0.44388374255783025	0.4742159606204308	0.4562670655944795	0.47152157646491705	0.4485315178874749	0.4641222065485345	0.0	0.4667533665315481	0.4791110815498394	0.5105525344860353	0.4492350583791375	0.4662071017925567	0.4242987306968297	0.4274200047821169	0.4325346508147451	0.47457676198380083	0.4560920857526787	0.4742772580362849	0.4292449552795931	0.47488509938523604	0.4700233502294563	0.4868401612893953	0.5157769345050893	0.47843891727792964	0.47425885982719473	0.48559786036807345	0.49812096229418173	0.4812202048159605	0.4493910710613408	0.4656601275989041	0.4765308891505013	0.4596844122994133	0.6110414191799461	0.4678970488976739	0.4650160497835078	0.4491003175856788	0.4877879596712365	0.4880234920069751	0.46752022655120085	0.45804389526707395	0.4689064732929455	0.4869791599505913	0.46177384923775794	0.44290674092682775	0.47567947433387237
Ariadne	0.4796641376408707	0.414954937163353	0.41562757222477276	0.4391023799744774	0.43592268114748456	0.42699667449014767	0.4667533665315481	0.0	0.449430905468777	0.43441594006845535	0.4257669802076063	0.38957998633880125	0.40371646537038813	0.42911052133050726	0.4192949482062121	0.4036008809324403	0.4948199624087081	0.41652555790228285	0.4474641506930493	0.43474030355069904	0.411769851593571	0.41908948204869306	0.42327885976797436	0.4090599794892195	0.4430069991030299	0.45850000810245267	0.4009469430776014	0.4115104731254524	0.45200450151282534	0.44782008038625687	0.4176671417187549	0.3813254371309505	0.5975966640510032	0.39382058698676614	0.3722751182192116	0.41017590045653024	0.3763755700525092	0.3927810100722317	0.4138530475984567	0.41808962513944276	0.38636998319106886	0.41777686862799407	0.4311988358659731	0.38398476756523703	0.4040786137181284
Luna	0.46174310794267687	0.43426992984499385	0.41817043474822946	0.45607482371322017	0.4338482861920153	0.43764172423962916	0.4791110815498394	0.449430905468777	0.0	0.4720996228100262	0.42428334763432574	0.40650936280781313	0.440866839514953	0.42897410993747614	0.418713498256033	0.4524841864885285	0.48287719617619307	0.44140809154609667	0.4296060111158775	0.43927543311895434	0.4444818710230341	0.45636250617215596	0.43297499294307656	0.4687827014507504	0.4511459204396855	0.4455819348955309	0.4437324876966388	0.41993157361975136	0.4805102822818661	0.4495014385267985	0.4863384831627815	0.4230164586624504	0.6017801066069293	0.4319527610023878	0.42933283946933115	0.40852569240176806	0.4424263324657121	0.4302985281629834	0.4379484171138329	0.4471682337585944	0.4176089944844123	0.42703096529137363	0.4094899463314377	0.4106437877762085	0.45731174410587316
Minerva	0.4434299642200415	0.4173943028123358	0.44512176679814164	0.4778026009541891	0.4645118614336705	0.4360221152429264	0.5105525344860353	0.43441594006845535	0.4720996228100262	0.0	0.4277129779514952	0.4290924117805423	0.3905631772967818	0.438308325851802	0.47783067500016785	0.39766540142649165	0.5028510241254994	0.481690589118107	0.4570598521930464	0.42205322820681396	0.438796446749027	0.4343809222293608	0.4164444316983305	0.46076220096738	0.4930387374236455	0.45809420556698777	0.4761108740738764	0.4582210577870852	0.4488528894007898	0.47265117647418836	0.4183859325238045	0.4557997724478455	0.6099889284947881	0.45077354528951336	0.459604795952905	0.4432296274717436	0.42768882308623396	0.4367539148000067	0.44493729009497607	0.43247065499201853	0.4463650676979123	0.46463266837025907	0.43963081655958636	0.4477985549668903	0.43826957429932467
