	St_Patrick	Abita	Callopie	Alana	Unknown	Dyani	Nyx	Ariadne	Luna	Minerva	Jordan	Corey	Theodora	Bathsheba	Odysseus	Ivy	Ivanhoe	Octavia	Unknown_G2.3	Unknown_G2.2	Wings	Orf	Juniper	Azalea	Mimosa	Agate	Zanahoria	Rambo_II	Siobhan	Unknown_G2.1	Talia	URG.1	URG.10	URG.11	URG.12	URG.13	URG.14	URG.2	URG.3	URG.4	URG.5	URG.6	URG.7	URG.8	URG.9
St_Patrick	0.0	0.16348134648813534	0.21245369895654742	0.24673906121581396	0.2569392712995078	0.2498491755168421	0.21330416192274007	0.1859456676129929	0.2180972878708835	0.22204766548780455	0.28946909825556116	0.24798347556053305	0.2627864647208725	0.20514416426097423	0.27342403877143007	0.20708508605409529	0.22461512987121773	0.2518984659973466	0.18767698237881575	0.20265985903508302	0.20765685680781532	0.22858874218839464	0.19973233131890877	0.2457942340209904	0.24884179543668786	0.19386994217603543	0.24271894957097243	0.25833715426104675	0.19968127313061673	0.21009815034947585	0.27650272777327883	0.17554245999148507	0.32929854265446723	0.2029829214154808	0.2389655865155753	0.19693195227039537	0.20109835815824337	0.21698892972201284	0.16982826501775897	0.1711140736690227	0.21886792855013898	0.1951962436898188	0.18871790228769872	0.20184367419065366	0.17739562628554598
Abita	0.16348134648813534	0.0	0.1286956073982167	0.15984825103926836	0.1521378572756396	0.1340816623145278	0.17928142162525088	0.11382152164491306	0.13388686202125735	0.17967789662715733	0.16558183885219072	0.16009615791104842	0.224439586849832	0.13350041913570554	0.16954451224610415	0.15526851802621797	0.1357206691967839	0.17331426908359396	0.13261431762749204	0.11640418415086004	0.1015182246410485	0.10003038251397585	0.09146329377258126	0.15159014632071058	0.19553257951942488	0.1299849178550781	0.13893227842256287	0.14126067117088859	0.17701415918379945	0.1444786858036234	0.20780075640573925	0.11547943813763228	0.26272123681761794	0.19305561868097845	0.16155514605576515	0.11328480881093836	0.10127850373660503	0.1208045775734156	0.1430595986895451	0.15468665099348547	0.16196464763487808	0.15622084111943196	0.21933452283722282	0.09972803296716459	0.12330445201394953
Callopie	0.21245369895654742	0.1286956073982167	0.0	0.13938447339097546	0.11484315891940641	0.11409997989997603	0.1737590799542915	0.16158434957808496	0.14634697413917896	0.20974418494463407	0.14873667017256934	0.1675722658348004	0.2577946940894507	0.12772680411501192	0.12490422991363355	0.1952875604655033	0.14227198097844587	0.19282410241964382	0.14714526978407388	0.16444398575481212	0.15831834064363567	0.11242001066925321	0.14906666098235025	0.16954848679204546	0.14379980117434976	0.14475296265190402	0.15682725568962003	0.15513574409247774	0.21720736699983859	0.18345928629461647	0.20947537515975276	0.1551016249102995	0.2700109702689019	0.1999568345464206	0.17245344206094476	0.12780364587302437	0.1619509300779135	0.13023141973421035	0.18540985443919325	0.1656631786814344	0.17471427729319677	0.14780311180901815	0.2493889055944752	0.1303009137774688	0.1679181221738957
Alana	0.24673906121581396	0.15984825103926836	0.13938447339097546	0.0	0.1306452459835391	0.13717543232333093	0.20455806376832197	0.18702290316819617	0.19289874752192956	0.25338976325616025	0.15304003364740212	0.18747648293259567	0.3247054998977058	0.13383511566521294	0.14839230430363207	0.21164162193071862	0.16002433730620935	0.1600606233061256	0.16483278914335067	0.15955783565194476	0.20138127371089223	0.12632194677506375	0.18015754282429108	0.1381673538654723	0.14703507089967915	0.17253213691393074	0.15121614114397275	0.14625751047394667	0.25850729790199156	0.20435880207338966	0.22025374269374132	0.14677984701169122	0.26340056479940427	0.19453946891890186	0.11461243319584426	0.14442520268425185	0.18918853312777098	0.14387850395106014	0.18234595973283918	0.17884034143261543	0.13735574919965887	0.140665156648604	0.24995083595142473	0.1696518294842063	0.16498338094540896
Unknown	0.2569392712995078	0.1521378572756396	0.11484315891940641	0.1306452459835391	0.0	0.10295323271272122	0.21396945893506245	0.18538147403053162	0.16178378848455507	0.24276123381843548	0.17192933899301438	0.18274881434963125	0.29825925724004226	0.10073289051373174	0.08504576455328021	0.22372812251498753	0.14748516643493875	0.19074015336173428	0.1805031820339902	0.16561832877642807	0.18560366377551882	0.12518411278958533	0.16528762526188043	0.1733849546062239	0.17515243036760816	0.16905216734374234	0.17425058766398244	0.1617028129457041	0.25874751466238216	0.21978047160934205	0.23948765102402156	0.17834323539989633	0.28812233845551444	0.22115248838546378	0.1819016049385756	0.147103064043011	0.17547213723173133	0.12918789022056365	0.20759206925678536	0.21020680580003934	0.1878948246004704	0.15732789083652604	0.29445640036578674	0.16157299446356235	0.18115516737359055
Dyani	0.2498491755168421	0.1340816623145278	0.11409997989997603	0.13717543232333093	0.10295323271272122	0.0	0.229204863393857	0.19096170949096217	0.16316491021766275	0.24218791514863972	0.1572678990897558	0.2103945203710678	0.28295912835823683	0.14052564955421978	0.14875001255245243	0.2165353960668122	0.15450917934662817	0.19256993782815568	0.17291146189669263	0.16049754851724415	0.1729915766900616	0.12188371562928305	0.15330808863610204	0.16054448873123053	0.1916210288054998	0.17938444464148726	0.1580483328571738	0.1565555099539552	0.2535839983236637	0.21000753333179262	0.24282105210809674	0.156419895870018	0.26553733707938965	0.2320365674432111	0.18052905001955358	0.14003292784971305	0.14724115796853093	0.1400806519561123	0.1976543457850984	0.2016291120514898	0.19210526716588236	0.17193702351525228	0.2951775653755812	0.13768738994888152	0.16580320043991353
Nyx	0.21330416192274007	0.17928142162525088	0.1737590799542915	0.20455806376832197	0.21396945893506245	0.229204863393857	0.0	0.17808927872452435	0.16416539409368924	0.19568061515731353	0.2130249036446733	0.2107223459258427	0.23712890674223222	0.1943562986653971	0.21233681131855753	0.2150896604373063	0.1712080509118105	0.19803408648670134	0.14860670616451577	0.19609295944563382	0.21981577453157322	0.172706102958329	0.2118646830850266	0.21642557132176088	0.20082703086473735	0.16589051111888375	0.2015800433457414	0.23361017375701595	0.17870106159741014	0.21323402047244533	0.22331476414424134	0.17912205223211303	0.322601754508033	0.16359438168217497	0.1958216980549409	0.17439273012813572	0.23091300470725884	0.20457350126852766	0.20543881861558674	0.17811709528236247	0.18310064452106187	0.1675272409036871	0.24544154861352172	0.2094559396216277	0.1911128212684684
Ariadne	0.1859456676129929	0.11382152164491306	0.16158434957808496	0.18702290316819617	0.18538147403053162	0.19096170949096217	0.17808927872452435	0.0	0.13396670822757728	0.131229698499644	0.19402301507686337	0.1429318827253897	0.23063092731996546	0.15568288646721037	0.19017747123327175	0.12514390148297655	0.14954768140961353	0.1700231120644117	0.13851696073081077	0.10401003478188037	0.11353287952060236	0.1383709719462079	0.10761037360049192	0.17243735566610083	0.1911989406265055	0.09032120935038715	0.15918204689135138	0.15762516891809755	0.15694740324278683	0.1590097698389292	0.1854125272806294	0.13934678374644746	0.2976252757944673	0.16651854223609952	0.1721709758583784	0.13407425227146094	0.1300059478399381	0.13750153660600944	0.1509976249977	0.15769902480539433	0.160875159462577	0.14199909017700224	0.21919214456783093	0.14755985747986777	0.15040308668337743
Luna	0.2180972878708835	0.13388686202125735	0.14634697413917896	0.19289874752192956	0.16178378848455507	0.16316491021766275	0.16416539409368924	0.13396670822757728	0.0	0.17439672365228975	0.19276645727007438	0.18095710308638088	0.24351287999535884	0.15943232944887115	0.16082444809806778	0.16980309686454273	0.13506693488876084	0.1588879088641244	0.13232701332133343	0.123096013396042	0.14947882431462012	0.13543255250132	0.12429267989715143	0.17064874123413012	0.18894109172765322	0.11917543188686111	0.15846850030031254	0.16326390420223816	0.19963631309804128	0.17737917490918598	0.22704453335282648	0.14952373023456497	0.31443276132455883	0.18414726332580875	0.17883550430099426	0.13618960684331302	0.1554593192856998	0.1454230145622141	0.17008533171301363	0.16807337025085625	0.17094727239008933	0.14390268608711318	0.2533203583682319	0.15147914186618783	0.15262458625979397
Minerva	0.22204766548780455	0.17967789662715733	0.20974418494463407	0.25338976325616025	0.24276123381843548	0.24218791514863972	0.19568061515731353	0.131229698499644	0.17439672365228975	0.0	0.2362267061113968	0.21025479261864138	0.2094084853689151	0.2261260055385634	0.2607872222818504	0.12757918356362347	0.217715184981147	0.2485915127740949	0.18430309215671756	0.16748084359884824	0.17269871278614068	0.20043836616577607	0.17777349795982406	0.2411949260111367	0.26245646781824816	0.1326066974751812	0.23219093590040865	0.2239336464286429	0.15622822492867997	0.1919756962900955	0.18215582461388935	0.20213787855449417	0.3321711038071359	0.1965225775889046	0.22677766599149296	0.19638970187282537	0.19580484154184466	0.2001555776704341	0.18773184962074957	0.20227231719846084	0.205162808739763	0.2048307313704287	0.24953762176123565	0.20186213188340316	0.2070407986346584
